date,btc_open,btc_high,btc_low,btc_close,btc_volume,dvol_open,dvol_high,dvol_low,dvol_close,spx_open,spx_high,spx_low,spx_close,spx_volume,vix_open,vix_high,vix_low,vix_close,btc_log_return,spx_log_return,btc_rv_7d,spx_rv_7d,btc_rv_14d,spx_rv_14d,btc_rv_30d,spx_rv_30d
2024-01-25,40084.89,40300.24,39550.0,39961.09,31022.11853,47.54,47.71,44.6,45.01,4886.66015625,4898.14990234375,4869.33984375,4894.16015625,4020430000,13.18000030517578,13.579999923706056,13.0600004196167,13.449999809265137,-0.003092975166303934,0.00524657813497798,0.36877442609181665,0.09147670268439402,0.5231030038146728,0.08994268917192431,0.49078278533847364,0.10082803894430663
2024-01-26,39961.09,42246.82,39822.52,41823.51,47384.96726,45.01,45.64,43.34,43.73,4888.91015625,4906.68994140625,4881.47021484375,4890.97021484375,3353400000,13.729999542236328,14.100000381469728,13.199999809265137,13.260000228881836,0.04555239092628425,-0.0006519977554263648,0.502227778220246,0.07292597995392645,0.5688455102856546,0.09120876427438292,0.5088065553614929,0.10075947295400715
2024-01-29,42031.05,43333.0,41804.88,43302.7,31542.74207,45.25,46.33,44.18,45.36,4892.9501953125,4929.31005859375,4887.39990234375,4927.93017578125,3525160000,13.979999542236328,15.350000381469728,13.59000015258789,13.600000381469728,0.03475636711071345,0.007528365505246204,0.49303588267311876,0.07021306226663034,0.5180459547243482,0.07923039492987868,0.5100124863086796,0.09601174106412358
2024-01-30,43302.71,43882.36,42683.99,42941.1,37619.24546,45.36,47.29,45.25,46.91,4925.89013671875,4931.08984375,4916.27001953125,4924.97021484375,3836130000,13.6899995803833,13.739999771118164,13.229999542236328,13.3100004196167,-0.008385579459892248,-0.0006008303969786162,0.5009209318179842,0.048279351098955064,0.5152104938840717,0.0784759572736719,0.5105305695792534,0.09614462776914386
2024-01-31,42941.1,43745.11,42276.84,42580.0,39871.13688,46.91,47.19,45.77,45.79,4899.18994140625,4906.75,4845.14990234375,4845.64990234375,4696120000,13.420000076293944,14.609999656677246,13.18000030517578,14.350000381469728,-0.008444749797383772,-0.016236851740733683,0.34022813059973706,0.12256204465619804,0.5095258699795716,0.10998388944833176,0.5055278851381185,0.10889379143465602
2024-02-01,42580.0,43285.13,41884.28,43082.94,35231.04664,45.79,46.07,44.32,44.76,4861.10986328125,4906.97021484375,4853.52001953125,4906.18994140625,4386090000,14.210000038146973,14.630000114440918,13.869999885559082,13.880000114440918,0.011742435619609937,0.012416286114049784,0.3399266675361959,0.14390948253395047,0.5153743423663941,0.11987803598509478,0.50427583767203,0.11349467563577428
2024-02-02,43082.95,43488.0,42546.79,43200.0,29672.14418,44.76,45.25,42.27,42.41,4916.06005859375,4975.2900390625,4907.990234375,4958.60986328125,3974350000,13.949999809265137,14.229999542236328,13.390000343322754,13.850000381469728,0.0027134001651212595,0.01062777072263312,0.3416584085575712,0.15441894885094673,0.38648124003867046,0.12531115972392798,0.5035362448242162,0.11603251533543588
2024-02-05,42582.88,43569.76,42258.1,42708.7,29467.75905,42.69,43.34,41.78,42.37,4957.18994140625,4957.18994140625,4918.08984375,4942.81005859375,4023640000,14.369999885559082,14.529999732971191,13.579999923706056,13.670000076293944,-0.0114378486965022,-0.0031914247092839714,0.3590264211209169,0.15667044495980906,0.3880339821519426,0.12479848835452981,0.4955258242111904,0.10652939233217315
2024-02-06,42708.7,43399.98,42574.0,43098.95,24675.85433,42.37,43.58,41.83,42.87,4950.16015625,4957.77001953125,4934.8798828125,4954.22998046875,4440880000,13.56999969482422,13.779999732971191,12.979999542236328,13.0600004196167,0.009095988310426472,0.0023077459317481074,0.25756610290109877,0.15603712197363626,0.3884056117799564,0.11905667147197467,0.49613512910625324,0.10342691436846009
2024-02-07,43098.96,44396.5,42788.0,44349.6,34392.59915,42.87,44.09,41.81,43.82,4973.0498046875,4999.89013671875,4969.0498046875,4995.06005859375,4895590000,13.0600004196167,13.130000114440918,12.8100004196167,12.829999923706056,0.028605054685199374,0.008207682594008628,0.22794943239158064,0.1571274178622103,0.36999246910494105,0.1185698215526998,0.5032655401657723,0.10527998313744574
